Classifier,Epitope,Selectivity
CITE_SVM,CD127,24.135030382570264
CITE_SVM,CD4-2,20.560523600560344
CITE_SVM,CD109,23.223692587015826
CITE_SVM,CD27,21.66393114395123
CITE_SVM,CD44-2,24.159976977118777
CITE_SVM,CD49d,24.415476054903706
CITE_SVM,CD55,24.178095339127374
CITE_SVM,CD44-1,24.169157806252674
CITE_SVM,CD2,24.13199286640027
CITE_SVM,CD4-1,20.922204036280338
CITE_RIDGE,GP130,24.03436073650501
CITE_RIDGE,CD122,24.059400600852282
CITE_RIDGE,CD8,24.26378335038842
CITE_RIDGE,TIGIT,23.86033177770501
CITE_RIDGE,IgD,24.085014881207172
CITE_RIDGE,CD29,24.159901847868333
CITE_RIDGE,CD72,24.250626786867347
CITE_RIDGE,CD4-1,20.922204036280338
CITE_RIDGE,CD27,21.66393114395123
CITE_RIDGE,CD25,19.19461438171078
distMetricF,TIGIT,23.86033177770501
distMetricF,CD28,23.58367166322756
distMetricF,CD3-1,22.558431055748898
distMetricF,CD146,24.028610398927928
distMetricF,CD3-2,22.347061667406347
distMetricF,CD278,24.17851170720145
distMetricF,CD4-2,20.560523600560344
distMetricF,CD27,21.66393114395123
distMetricF,CD4-1,20.922204036280338
distMetricF,CD25,19.19461438171078
distMetricT,TIGIT,23.86033177770501
distMetricT,CD146,24.028610398927928
distMetricT,TCR-2,23.402964421994856
distMetricT,CD109,23.223692587015826
distMetricT,CD3-1,22.558431055748898
distMetricT,CD3-2,22.347061667406347
distMetricT,CD27,21.66393114395123
distMetricT,CD4-2,20.560523600560344
distMetricT,CD4-1,20.922204036280338
distMetricT,CD25,19.19461438171078
